   1.0300000000000000e+02	   5.3380000000000000e+03	   1.6052100000000000e+04	   2.6875000000000000e+04	   1.4705882352941176e-02	   1.0128458498023715e-01	   3.6569579288025889e-01	   1.8733608092918696e-02	   9.0239790183589363e-01	   1.8227800674409891e-01	   1.8521284540702015e-01	   1.1949215832710978e-01	   3.5517241379310344e-01	   5.3821656050955413e-01	   0.0000000000000000e+00	   2.6952141057934509e-01	
   2.0100000000000000e+02	   4.3850000000000000e+03	   6.7628999999999996e+03	   5.0809000000000000e+04	   5.8734939759036146e-02	   8.0000000000000002e-02	   2.6025172553796183e-01	   8.6659064994298752e-03	   4.7160775370581526e-01	   2.7137970353477764e-01	   6.1452513966480445e-02	   3.7744413407821231e-01	   7.4284077892325318e-01	   4.8697440585009139e-01	   1.7182130584192441e-02	   1.5895953757225434e-01	
   2.0300000000000000e+02	   6.0400000000000000e+02	   9.8189999999999998e+02	   6.5000000000000000e+04	                      NaN	   1.9354838709677420e-02	   5.2980132450331126e-02	   4.6357615894039736e-02	   9.9337748344370865e-03	   3.4768211920529798e-02	   6.5543071161048683e-02	   7.5280898876404490e-01	   8.5638297872340430e-01	   5.6499999999999995e-01	   0.0000000000000000e+00	   1.2558139534883722e-01	
   3.0500000000000000e+02	   2.3040000000000000e+03	   8.9383999999999996e+03	   1.3810000000000000e+04	   0.0000000000000000e+00	   2.5980392156862747e-01	   5.7734684883208465e-01	   2.3003472222222221e-01	   4.5138888888888888e-02	   8.1857638888888884e-01	   2.3883928571428573e-01	   1.3169642857142858e-01	   7.8412698412698412e-01	   7.9363001745200701e-01	   2.0793650793650795e-01	   1.3282863041982107e-01	
   4.0200000000000000e+02	   2.1830000000000000e+03	   9.2196000000000004e+03	   2.1398000000000000e+04	   1.9097222222222224e-02	   1.8404255319148935e-01	   3.8733333333333331e-01	   1.2230874942739349e-01	   3.4402198808978468e-01	   4.8144754924415939e-01	   1.0467706013363029e-01	   3.8307349665924278e-01	   6.5091463414634143e-01	   6.4623303696771173e-01	   2.8963414634146339e-01	   1.6005121638924455e-01	
   4.0400000000000000e+02	   2.2980000000000000e+03	   2.9839200000000001e+04	   2.5987000000000000e+04	   0.0000000000000000e+00	   1.1869436201780416e-02	   4.8038321167883213e-01	   4.3516100957354219e-03	   5.0043516100957357e-02	   2.6544821583986074e-02	   1.0506208213944603e-02	   6.3323782234957016e-01	   4.7687400318979267e-01	   6.8924825174825177e-01	   0.0000000000000000e+00	   1.4751869476546567e-01	
   4.0500000000000000e+02	   2.9490000000000000e+03	   1.6184000000000000e+04	   1.2653000000000000e+04	   0.0000000000000000e+00	   9.3951093951093953e-02	   7.4463779846216105e-01	   8.8165479823669041e-03	   1.6208884367582232e-01	   5.7985757884028481e-02	   1.2941176470588237e-01	   5.6666666666666665e-01	   9.1535433070866146e-01	   3.8385893523228215e-01	   8.8582677165354329e-03	   2.2383498854087089e-01	
   4.0600000000000000e+02	   2.2120000000000000e+03	   2.2638799999999999e+04	   2.0169000000000000e+04	   0.0000000000000000e+00	   3.4142640364188161e-02	   6.3878842676311032e-01	   1.6726943942133816e-02	   3.1645569620253164e-03	   5.4249547920433995e-02	   1.8965517241379309e-01	   2.7801724137931033e-01	   8.7104072398190047e-01	   4.5117540687160940e-01	   1.6968325791855202e-02	   2.1908127208480566e-01	
   4.0900000000000000e+02	   2.7580000000000000e+03	   7.7563999999999996e+03	   2.6639000000000000e+04	   0.0000000000000000e+00	   1.2647444298820446e-01	   4.3502406516105147e-01	   8.2668600435097897e-02	   2.9369108049311095e-02	   2.1283538796229151e-01	   8.8282504012841087e-02	   3.0979133226324240e-01	   5.7932910244786939e-01	   6.4865844815083396e-01	   1.3599274705349048e-02	   2.4761255115961800e-01	
   5.0100000000000000e+02	   1.8050000000000000e+03	   5.9148000000000002e+03	   2.4366000000000000e+04	   0.0000000000000000e+00	   1.0040160642570281e-01	   3.0318257956448913e-01	   1.5346260387811633e-01	   3.2132963988919669e-02	   8.3324099722991685e-01	   1.5077605321507762e-01	   1.2490761271249076e-01	   5.9175257731958764e-01	   8.4619655746807332e-01	   1.1443298969072165e-01	   2.3622047244094488e-01	
